user_id,movie_id,rating
195,242,3
185,302,3
21,377,1
243,51,2
165,346,1
297,474,4
114,265,2
252,465,5
304,451,3
5,86,3
61,257,2
285,1014,5
199,222,5
209,40,3
223,29,3
302,785,3
121,387,5
193,274,2
290,1042,4
233,1184,2
118,392,4
166,486,4
298,144,4
290,118,2
307,1,4
94,546,2
37,95,5
101,768,2
62,277,4
159,234,5
49,246,3
300,98,4
224,193,4
289,88,4
96,194,3
156,274,4
180,1081,1
277,603,5
275,796,1
6,32,4
9,16,4
283,304,4
200,979,2
275,564,3
286,327,5
245,201,5
241,1137,5
248,241,5
98,4,5
177,332,3
250,100,4
80,432,2
259,322,4
24,181,5
58,196,5
71,679,2
86,384,4
289,143,5
41,423,5
291,515,4
114,20,3
19,288,1
200,219,4
12,526,3
245,919,4
137,26,5
166,232,1
59,427,5
56,304,5
222,274,4
188,512,4
242,15,3
91,1049,1
245,416,3
193,165,4
240,690,2
177,248,4
253,1444,3
292,5,3
126,229,5
224,237,5
298,229,3
224,480,5
275,54,3
290,144,5
221,366,4
266,518,5
41,403,3
10,111,4
94,625,4
7,338,4
161,25,4
86,1016,4
278,154,5
144,275,2
118,1153,5
61,498,4
61,382,3
27,209,4
134,23,4
31,294,3
89,382,5
285,208,4
292,685,3
215,144,4
165,328,5
249,496,4
270,132,5
159,174,5
264,118,4
197,498,3
41,96,5
167,151,5
109,307,4
57,144,4
89,648,4
270,346,4
61,21,3
278,832,3
236,514,4
93,789,4
127,485,3
297,317,4
43,195,5
263,200,5
193,385,2
71,195,5
221,750,5
249,264,3
40,265,3
223,245,3
81,135,3
261,1147,4
292,471,3
215,658,3
249,140,3
58,23,5
285,379,5
243,815,4
6,479,4
173,368,1
86,274,4
193,1211,2
81,1134,2
12,836,2
12,272,4
243,756,2
304,427,5
94,787,2
42,14,2
298,955,4
56,419,3
83,405,3
268,504,4
298,111,3
193,466,4
159,135,4
98,268,3
9,486,4
258,117,4
84,427,3
302,919,4
212,273,5
120,514,3
89,98,5
48,559,2
41,794,3
154,323,2
67,117,4
171,177,4
18,4,4
267,231,4
4,2,3
304,117,2
43,294,4
42,137,4
278,1336,1
79,466,5
253,164,4
297,281,3
278,1240,1
65,298,4
17,443,3
267,1035,2
98,79,4
12,98,4
25,258,3
6,455,4
221,755,4
199,673,5
118,328,4
212,172,5
275,322,3
93,1217,3
129,379,4
37,328,4
159,719,3
292,1267,3
25,930,2
129,216,4
91,1079,3
255,452,4
0,61,4
71,48,4
55,755,3
12,360,4
14,405,2
91,77,3
206,476,2
291,174,5
231,483,5
250,748,2
223,26,3
180,220,4
258,255,4
304,471,4
51,280,3
160,202,5
147,408,5
124,235,2
96,228,5
57,1098,4
82,234,4
89,347,4
271,178,5
193,181,3
124,478,4
109,688,1
298,14,4
150,10,5
268,127,4
5,14,5
53,106,3
302,69,5
15,944,1
300,790,4
275,1091,3
304,214,2
193,1028,2
90,323,2
86,554,4
293,109,4
285,171,4
199,318,5
228,328,1
177,568,4
302,842,2
61,65,4
206,591,3
91,172,4
300,401,4
35,339,5
69,746,3
62,242,3
27,201,3
278,68,4
249,7,4
13,98,3
298,1018,3
193,54,3
302,815,3
118,237,5
294,218,5
267,930,2
267,2,2
65,258,4
232,202,5
82,623,4
213,334,3
191,476,2
99,344,4
267,145,1
300,56,4
306,89,5
233,141,3
82,576,4
180,264,2
296,133,4
37,153,5
6,382,4
263,813,4
180,872,1
200,146,1
84,507,4
268,367,3
58,468,3
285,143,4
192,96,1
112,595,5
291,11,5
129,1014,3
274,98,4
188,520,5
218,82,1
217,209,5
122,427,3
118,222,5
157,177,4
221,118,4
301,322,2
278,501,3
300,79,5
180,3,2
200,695,1
12,198,3
0,189,3
144,237,5
22,385,4
200,767,4
295,705,5
41,546,3
32,872,3
300,554,3
15,64,5
94,135,3
153,357,4
76,484,5
295,508,5
301,303,2
243,673,3
221,77,4
12,215,5
15,705,5
269,452,4
144,15,2
186,64,5
199,304,5
169,749,5
100,829,3
183,218,3
127,204,4
180,1295,1
183,153,3
0,33,4
0,160,4
183,321,5
53,595,3
93,343,4
127,508,4
22,323,2
300,227,3
300,191,3
111,903,1
81,183,3
221,724,3
217,430,3
307,1197,4
302,134,5
132,751,3
214,212,2
68,256,5
253,662,4
275,2,4
103,984,1
62,1067,3
266,410,4
12,56,5
239,879,3
285,237,2
293,271,5
89,1086,4
17,26,4
91,229,3
307,649,4
143,89,3
190,302,4
58,951,3
199,96,5
15,197,5
60,678,3
270,199,4
270,709,3
141,169,5
274,597,3
221,151,3
86,40,3
206,258,4
271,1393,2
176,333,4
206,1115,2
298,577,3
270,378,4
304,425,4
48,959,2
93,1224,3
129,1017,3
9,175,3
202,321,3
190,286,4
42,323,3
20,558,5
196,96,5
12,344,2
193,66,3
233,206,4
307,402,4
307,640,4
268,522,5
93,265,4
267,62,3
271,12,5
120,291,3
295,20,5
133,286,3
179,462,5
233,612,3
103,117,2
37,758,1
268,845,1
6,163,4
233,1451,3
274,405,2
51,250,3
101,823,3
12,186,4
177,731,4
235,71,3
255,781,5
262,176,5
243,186,3
278,1181,4
42,815,4
82,78,2
150,197,5
253,436,2
108,631,3
296,716,3
248,188,4
143,699,4
300,604,4
63,392,3
91,501,2
221,97,4
267,436,3
292,135,5
212,173,5
159,460,2
12,498,4
58,715,5
4,17,4
124,163,5
173,315,5
113,505,3
212,515,4
22,196,2
127,15,4
238,56,4
180,279,1
290,80,4
249,238,4
200,649,3
59,60,5
180,325,2
118,407,3
286,1,5
215,228,3
215,531,4
202,471,4
91,587,3
12,892,3
212,176,4
285,288,5
116,1047,2
98,111,1
10,558,3
64,47,2
294,194,4
268,217,2
84,259,2
249,596,5
136,144,5
200,960,2
256,137,4
110,328,4
90,480,4
214,211,4
180,938,1
188,1060,5
0,20,4
302,404,4
298,305,3
186,210,4
221,278,2
213,568,4
292,770,3
284,191,4
302,252,3
95,156,4
71,1110,3
114,1067,4
6,430,3
115,350,3
72,480,4
268,246,5
262,419,5
69,431,3
220,475,4
71,182,5
24,357,4
289,50,5
188,526,4
298,303,3
263,294,3
199,365,5
186,135,4
183,187,4
62,289,2
12,229,4
297,486,3
234,185,4
61,712,4
245,94,2
53,742,5
62,762,3
10,732,3
91,168,4
7,550,3
306,174,4
302,200,4
255,849,2
71,54,3
163,406,2
116,150,4
223,77,4
192,869,3
93,184,2
280,338,2
129,109,3
127,371,1
93,720,1
181,845,3
128,873,1
253,229,4
63,381,4
150,176,2
44,25,4
192,879,3
275,922,4
275,57,3
233,187,4
180,306,1
20,370,1
292,249,3
263,721,5
9,611,5
196,346,3
275,142,3
307,427,4
220,943,4
130,126,4
267,824,2
108,8,3
197,58,3
229,680,4
180,741,1
191,1061,4
233,448,3
89,900,4
192,941,4
127,603,5
125,905,2
243,265,4
89,289,3
156,25,3
304,71,3
118,382,5
20,222,2
230,181,4
279,508,3
287,132,3
278,1497,2
300,33,4
71,699,3
89,259,2
307,55,3
58,742,3
93,744,4
129,642,4
25,1015,3
55,121,5
81,508,2
61,12,4
275,40,3
180,1015,1
151,301,3
177,845,4
216,597,4
78,303,4
137,484,4
307,81,5
74,284,2
268,198,4
306,94,3
221,781,3
120,740,3
268,22,1
12,864,4
229,742,5
268,507,4
238,1099,5
244,1028,5
55,546,3
294,961,5
270,1028,2
221,812,2
68,240,3
9,7,4
21,376,3
293,931,3
81,717,1
278,399,4
268,234,1
5,98,5
242,1039,4
297,181,4
281,325,1
77,323,1
117,200,5
282,1114,5
170,292,4
69,217,4
9,100,5
244,181,4
106,333,3
245,561,1
12,901,1
275,70,4
243,17,2
188,56,5
225,242,5
61,1016,4
275,417,4
213,478,4
305,235,4
221,26,3
279,631,5
59,430,5
55,71,4
41,274,5
0,202,5
12,809,4
172,289,4
14,749,1
184,23,4
279,540,3
243,381,4
149,293,4
6,497,4
177,317,4
177,742,3
94,1217,3
233,1462,3
96,222,5
108,127,2
116,268,5
268,705,2
129,1246,3
263,655,4
206,13,3
41,588,5
245,409,2
86,367,4
100,304,3
255,127,4
91,794,3
180,762,2
212,235,1
91,739,2
291,661,5
245,665,4
273,845,5
187,692,5
17,86,4
4,439,1
235,632,3
192,407,4
143,709,4
89,1198,5
47,609,4
4,225,2
21,128,5
310,432,4
7,22,5
275,188,4
221,173,5
71,866,4
298,134,4
0,171,5
307,295,3
164,216,4
221,49,3
180,121,4
199,11,5
233,626,4
243,707,4
89,25,5
207,216,5
262,96,4
133,323,4
278,586,4
1,292,4
287,593,2
48,302,4
285,153,5
204,304,3
21,80,4
233,318,4
222,328,3
14,25,3
267,147,4
93,1220,3
273,405,4
6,492,5
267,217,2
15,55,5
163,620,3
289,161,4
91,515,4
238,1070,5
55,449,5
247,234,4
233,10,3
279,1049,2
307,187,5
275,64,5
191,948,3
121,509,4
84,588,3
261,931,2
200,272,3
180,870,2
294,739,4
262,568,4
294,39,4
200,1100,4
92,820,3
158,1028,5
157,665,2
292,423,3
81,597,3
275,181,5
12,823,5
216,2,3
82,660,4
188,20,5
221,796,4
145,1022,5
266,121,3
125,294,3
180,1060,1
124,80,4
42,120,4
12,780,1
252,259,2
41,44,3
76,518,4
290,686,5
267,21,3
261,28,3
233,81,3
28,245,3
235,57,5
157,729,3
155,661,4
231,52,5
167,866,5
36,288,4
140,245,3
234,230,4
101,70,3
76,172,3
89,506,5
185,566,5
43,660,5
117,774,5
6,661,5
48,1003,2
61,68,1
41,1028,4
177,433,4
84,51,2
76,474,5
57,1099,2
55,1047,4
196,688,1
285,99,4
89,258,3
180,1288,1
294,190,4
223,69,4
271,317,4
220,1010,3
65,877,1
206,318,5
233,487,3
6,648,5
86,82,5
194,1052,1
43,449,5
305,287,4
193,172,3
93,62,3
166,659,4
107,100,4
229,304,5
180,927,1
53,302,4
89,22,4
180,696,2
285,357,4
13,269,4
310,179,2
91,121,5
20,440,1
243,550,1
180,405,4
64,806,4
36,540,2
43,443,5
243,183,4
0,265,4
269,25,5
298,387,2
93,572,3
285,746,4
238,272,5
215,55,5
253,121,3
61,665,2
177,385,4
193,23,4
267,955,3
187,143,5
275,294,4
157,1098,4
206,845,3
160,48,1
304,654,4
46,324,3
63,736,4
190,751,3
6,378,5
58,92,5
68,268,5
9,461,3
20,129,4
57,9,4
193,152,3
6,200,5
112,126,5
172,328,5
94,233,4
15,194,5
58,323,4
310,654,3
291,589,4
42,203,4
78,50,4
234,70,5
124,190,5
283,322,3
302,161,5
253,378,3
254,1034,1
103,301,2
89,923,5
5,463,4
278,122,1
285,298,4
221,448,3
296,57,5
41,625,3
129,1217,4
253,357,3
108,475,1
229,1444,2
243,310,3
5,301,2
35,748,4
255,443,3
101,515,1
103,285,4
20,447,5
110,301,4
17,408,5
24,222,4
109,944,3
269,98,5
67,237,5
82,215,4
5,258,2
88,216,5
127,317,4
304,512,4
183,412,2
285,175,5
278,1428,3
255,86,5
220,48,5
139,332,3
189,977,2
10,227,3
200,203,5
149,181,5
125,245,3
19,208,2
143,742,4
180,930,1
108,566,4
84,1065,3
212,133,3
221,379,1
222,11,3
214,421,4
