user_id,age,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,sex_M,occ_administrator,occ_artist,occ_doctor,occ_educator,occ_engineer,occ_entertainment,occ_executive,occ_healthcare,occ_homemaker,occ_lawyer,occ_librarian,occ_marketing,occ_none,occ_other,occ_programmer,occ_retired,occ_salesman,occ_scientist,occ_student,occ_technician,occ_writer
0,0.24,0.5952380952380952,0.29285714285714287,0.09523809523809523,0.13095238095238096,0.7523809523809524,0.20476190476190476,0.05714285714285714,1.0,0.016666666666666666,0.011904761904761904,0.10714285714285714,0.09047619047619047,0.04285714285714286,0.4119047619047619,0.4095238095238095,0.44761904761904764,0.21904761904761905,0.05238095238095238,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0.53,0.2835820895522388,0.09701492537313433,0.029850746268656716,0.08955223880597014,0.4552238805970149,0.2537313432835821,0.0,1.0,0.022388059701492536,0.06716417910447761,0.04477611940298507,0.022388059701492536,0.1044776119402985,0.4925373134328358,0.11194029850746269,0.3208955223880597,0.08208955223880597,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,0.23,0.609375,0.21875,0.0,0.0,0.484375,0.46875,0.078125,1.0,0.0,0.078125,0.1875,0.0625,0.546875,0.265625,0.34375,0.828125,0.21875,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,0.24,0.7209302325581395,0.32558139534883723,0.0,0.0,0.46511627906976744,0.4418604651162791,0.11627906976744186,0.627906976744186,0.0,0.0,0.09302325581395349,0.11627906976744186,0.46511627906976744,0.3023255813953488,0.5348837209302325,1.0,0.20930232558139536,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0.33,0.7154471544715447,0.4349593495934959,0.21544715447154472,0.2886178861788618,1.0,0.14227642276422764,0.0,0.2926829268292683,0.02032520325203252,0.02032520325203252,0.2886178861788618,0.16260162601626016,0.036585365853658534,0.17886178861788618,0.4715447154471545,0.22764227642276422,0.18292682926829268,0.02032520325203252,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,0.42,0.21649484536082475,0.1958762886597938,0.08762886597938144,0.15721649484536082,0.595360824742268,0.13402061855670103,0.010309278350515464,1.0,0.01804123711340206,0.07216494845360824,0.041237113402061855,0.11855670103092783,0.13144329896907217,0.39948453608247425,0.11597938144329897,0.24484536082474226,0.20618556701030927,0.04639175257731959,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.57,0.6,0.3772357723577236,0.0943089430894309,0.23739837398373984,0.5479674796747968,0.208130081300813,0.03414634146341464,1.0,0.04715447154471545,0.06829268292682927,0.27154471544715447,0.17560975609756097,0.13333333333333333,0.35121951219512193,0.3105691056910569,0.49105691056910566,0.2991869918699187,0.11544715447154472,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0.36,1.0,0.4088050314465409,0.0,0.025157232704402517,0.1509433962264151,0.23270440251572327,0.0,0.4528301886792453,0.0,0.025157232704402517,0.031446540880503145,0.0,0.018867924528301886,0.1761006289308176,0.4591194968553459,0.4276729559748428,0.3018867924528302,0.08176100628930817,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0.29,0.45454545454545453,0.3409090909090909,0.0,0.0,0.6136363636363636,0.0,0.0,1.0,0.0,0.11363636363636363,0.11363636363636363,0.0,0.09090909090909091,0.8636363636363636,0.4318181818181818,0.5,0.45454545454545453,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,0.53,0.3092485549132948,0.17630057803468208,0.0838150289017341,0.09826589595375723,0.5346820809248555,0.20809248554913296,0.03468208092485549,1.0,0.011560693641618497,0.12138728323699421,0.07803468208092486,0.1676300578034682,0.1994219653179191,0.43352601156069365,0.14739884393063585,0.42485549132947975,0.2543352601156069,0.06647398843930635,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
